sample_id,embryo_id,n_gt_nodes,n_gt_edges,t_min,t_max,gt_nodes_per_t_median,gt_nodes_per_t_max,division_nodes,max_out_degree,estimated_number_of_nodes
44b6_0113de3b,44b6,52,50,0,75,1.0,1,0,1,25755
44b6_0b24845f,44b6,51,49,11,50,1.0,2,0,1,32795
44b6_0c582fdc,44b6,71,70,20,90,1.0,1,0,1,27958
44b6_0db75fae,44b6,157,151,0,88,2.0,2,0,1,15335
44b6_12dfb391,44b6,788,773,0,99,9.0,11,1,2,58672
44b6_144b256d,44b6,121,119,0,99,1.0,2,0,1,65376
44b6_1574802b,44b6,155,153,4,98,2.0,2,0,1,17677
44b6_18ced818,44b6,100,99,0,99,1.0,1,0,1,78644
44b6_1d530831,44b6,276,271,0,99,3.0,4,0,1,35825
44b6_24264f12,44b6,230,221,0,86,3.0,4,0,1,26353
44b6_267148e4,44b6,280,277,0,99,3.0,3,1,2,19130
44b6_2a2eff9f,44b6,214,210,0,99,1.0,4,1,2,56367
44b6_2f31fc2f,44b6,89,85,0,80,1.0,3,0,1,24368
44b6_33b596bf,44b6,50,49,21,70,1.0,1,0,1,23330
44b6_341df25f,44b6,216,209,0,99,2.0,4,1,2,7436
44b6_3a861e03,44b6,935,919,0,99,9.0,11,0,1,40546
44b6_3bb3690f,44b6,400,396,0,99,4.0,4,0,1,31937
44b6_40c45f5a,44b6,200,198,0,99,2.0,2,0,1,32681
44b6_415c0a3a,44b6,331,322,0,99,4.0,6,0,1,57292
44b6_53f95252,44b6,70,68,0,50,1.0,2,0,1,38715
44b6_551a5dba,44b6,228,224,0,99,2.0,4,0,1,57627
44b6_5740d24b,44b6,173,170,0,99,2.0,2,0,1,19730
44b6_587a1e22,44b6,381,371,5,99,4.0,7,1,2,18137
44b6_5f15d135,44b6,278,273,0,99,3.0,4,1,2,29519
44b6_668e0cc7,44b6,643,631,0,99,7.0,10,0,1,39701
44b6_66f9292d,44b6,200,198,0,99,2.0,2,0,1,52710
44b6_706092f0,44b6,118,117,0,99,1.0,2,1,2,69898
44b6_71a4179f,44b6,121,119,0,99,1.0,2,0,1,67688
44b6_74d0c52e,44b6,140,139,0,99,1.0,2,1,2,15090
44b6_7a302da0,44b6,516,507,0,99,6.0,7,1,2,66858
44b6_7e557709,44b6,570,560,0,99,5.0,9,0,1,56060
44b6_808952d6,44b6,181,179,0,99,2.0,2,0,1,15742
44b6_81c256f0,44b6,199,197,0,99,2.0,2,0,1,10052
44b6_87bba6c4,44b6,153,149,0,80,2.0,3,0,1,28102
44b6_8cc6506c,44b6,400,396,0,99,4.0,4,0,1,32172
44b6_8f5ab931,44b6,616,604,0,99,7.0,8,0,1,27571
44b6_8f9ecab4,44b6,374,370,0,99,4.0,4,0,1,74833
44b6_90724892,44b6,105,103,29,85,2.0,2,0,1,25532
44b6_949adeb1,44b6,388,378,24,99,5.0,10,0,1,37179
44b6_95029e92,44b6,200,198,0,99,2.0,2,0,1,5161
44b6_97725144,44b6,225,221,0,99,2.0,3,0,1,35774
44b6_996155de,44b6,380,377,0,99,4.0,4,1,2,7573
44b6_9be80b04,44b6,222,220,0,99,2.0,3,1,2,57877
44b6_9bfa6a0a,44b6,264,259,0,99,3.0,5,0,1,64308
44b6_a21120c2,44b6,296,286,0,84,4.0,6,2,2,23040
44b6_a2bb48bb,44b6,416,410,0,99,4.0,6,0,1,60613
44b6_aaf8b0ea,44b6,209,206,0,99,2.0,3,1,2,22099
44b6_abf82518,44b6,96,94,0,57,2.0,2,0,1,27604
44b6_b2c44266,44b6,170,168,0,99,2.0,2,0,1,59729
44b6_c15fded2,44b6,104,102,21,74,2.0,2,0,1,20585
44b6_c50204e0,44b6,333,325,0,99,4.0,6,2,2,47078
44b6_c771cb04,44b6,227,223,0,99,2.0,4,0,1,53345
44b6_c8e2a523,44b6,168,164,0,80,2.0,4,1,2,33144
44b6_c96cfa10,44b6,629,616,0,99,6.0,7,0,1,46236
44b6_cf2536e8,44b6,76,75,0,75,1.0,1,0,1,57565
44b6_cf8fed6b,44b6,191,188,6,99,2.0,3,0,1,43729
44b6_d29c9ab2,44b6,1353,1328,0,99,14.0,16,0,1,38055
44b6_d2f34f90,44b6,283,281,0,99,2.0,4,2,2,24074
44b6_d5e7d891,44b6,906,893,0,99,9.0,11,2,2,44848
44b6_d754aa59,44b6,72,70,8,75,1.0,2,1,2,5171
44b6_d78e09d9,44b6,463,451,0,99,5.0,7,0,1,22259
44b6_db3c847b,44b6,165,162,0,99,2.0,2,0,1,15023
44b6_ddf577ad,44b6,659,647,0,99,6.0,12,0,1,53492
44b6_deabac95,44b6,126,124,14,97,2.0,2,1,2,13989
44b6_e28840c6,44b6,311,309,0,99,3.0,4,2,2,74686
44b6_e29f0176,44b6,51,50,30,80,1.0,1,0,1,12969
44b6_e31261b4,44b6,116,113,15,96,1.0,2,0,1,72856
44b6_e35b117d,44b6,270,266,0,99,3.0,4,0,1,28641
44b6_e57ff5c6,44b6,193,186,0,99,2.0,4,0,1,20314
44b6_eb2880fc,44b6,390,379,0,99,4.0,6,1,2,48084
44b6_f28707c6,44b6,63,61,8,72,1.0,1,0,1,18656
6bba_05b6850b,6bba,861,845,0,99,9.0,11,0,1,6362
6bba_05db0fb1,6bba,1229,1183,0,99,13.0,17,3,2,69800
6bba_062c8d37,6bba,930,898,0,99,9.0,13,1,2,6030
6bba_07477033,6bba,613,602,0,99,6.0,8,0,1,4836
6bba_07e24132,6bba,359,345,0,99,4.0,5,2,2,21485
6bba_085bf656,6bba,1198,1168,0,99,12.0,16,1,2,8463
6bba_09961292,6bba,1950,1871,0,99,18.0,33,4,2,31117
6bba_0c7fa718,6bba,704,659,0,99,8.0,13,0,1,13650
6bba_0e7c0d07,6bba,209,198,0,85,2.0,6,1,2,22467
6bba_12665c0e,6bba,1036,998,0,99,9.5,19,3,2,8314
6bba_13f19531,6bba,737,704,0,99,7.0,13,0,1,5773
6bba_15403b9a,6bba,758,729,0,99,7.0,11,0,1,6889
6bba_1d0d8384,6bba,1438,1365,0,99,12.0,27,1,2,17909
6bba_1ebfb80d,6bba,745,719,0,99,8.0,11,0,1,11558
6bba_1f58c2f6,6bba,317,299,0,99,3.0,5,0,1,28903
6bba_207c6aaf,6bba,475,450,0,99,5.0,11,1,2,11999
6bba_20852818,6bba,952,909,0,99,9.0,15,3,2,9758
6bba_2312ac41,6bba,1156,1132,0,99,12.0,15,2,2,11950
6bba_23af9eeb,6bba,513,499,0,99,6.0,7,0,1,4450
6bba_2540cd90,6bba,529,523,0,99,5.0,6,0,1,3783
6bba_2646afc7,6bba,738,721,0,99,7.0,11,0,1,5495
6bba_268e1230,6bba,641,609,0,99,7.0,9,1,2,5107
6bba_2819ca14,6bba,986,949,0,99,10.0,14,1,2,5534
6bba_283bf9f1,6bba,1342,1288,0,99,13.0,20,0,1,20861
6bba_312f0dc3,6bba,520,500,0,80,7.0,10,0,1,9963
6bba_32db13fc,6bba,862,811,0,99,6.0,24,1,2,38705
6bba_337b1b3a,6bba,1272,1213,19,99,18.0,27,2,2,30480
6bba_372c8cb8,6bba,1036,1007,0,99,10.0,14,0,1,7021
6bba_3a1849c2,6bba,1173,1142,0,99,11.0,16,0,1,7003
6bba_3abfe10a,6bba,997,935,18,99,14.0,26,1,2,52065
6bba_3c5691b6,6bba,765,746,0,99,9.0,12,2,2,6258
6bba_3db54e20,6bba,502,474,0,99,5.0,12,1,2,23236
6bba_3fda6b25,6bba,1207,1179,1,99,12.0,15,1,2,9842
6bba_43fea39d,6bba,910,880,0,99,9.0,14,0,1,5748
6bba_474be664,6bba,292,286,0,99,3.0,4,1,2,28293
6bba_48816121,6bba,935,918,0,99,10.0,13,5,2,23965
6bba_4aa14c89,6bba,707,681,0,99,7.0,11,0,1,6787
6bba_4f99ce20,6bba,1057,1010,0,99,10.0,17,2,2,5965
6bba_4ffd3da3,6bba,706,689,0,99,7.0,11,3,2,17637
6bba_55b7eebe,6bba,705,688,0,99,7.0,10,1,2,5257
6bba_55c70843,6bba,490,467,13,99,7.0,12,0,1,35415
6bba_57b7cc1e,6bba,1659,1592,0,99,17.0,22,3,2,65511
6bba_5a4d9360,6bba,747,722,0,99,8.0,11,0,1,5976
6bba_5b28472a,6bba,737,724,0,99,7.0,9,0,1,5802
6bba_5c039895,6bba,1174,1145,0,99,12.0,16,3,2,8570
6bba_5c824876,6bba,1170,1130,0,99,13.0,17,1,2,24647
6bba_5dfe9ad1,6bba,1542,1487,0,99,16.0,21,0,1,26913
6bba_5f89039d,6bba,904,885,0,99,9.0,12,0,1,4611
6bba_61dd1e0d,6bba,558,543,0,99,6.0,8,0,1,10128
6bba_61ecbe65,6bba,640,614,0,99,7.0,9,1,2,5774
6bba_6321a359,6bba,827,798,0,99,8.0,12,1,2,4821
6bba_6479435d,6bba,617,580,0,99,5.0,14,0,1,23453
6bba_67ebd073,6bba,462,438,0,99,5.0,9,1,2,16061
6bba_6ca87370,6bba,1081,1052,0,99,10.0,19,1,2,7195
6bba_6db0e9b4,6bba,449,440,12,99,5.0,8,0,1,28435
6bba_6feb10f0,6bba,1368,1343,0,99,14.0,19,0,1,8862
6bba_6feeb0b1,6bba,1389,1343,0,99,14.0,17,0,1,7518
6bba_705ec2c9,6bba,596,562,0,99,6.5,10,1,2,5600
6bba_718b21f9,6bba,661,652,0,99,6.0,9,0,1,4306
6bba_74686d6a,6bba,586,576,0,99,6.0,9,2,2,29803
6bba_767a1e17,6bba,718,658,46,99,16.0,31,0,1,47714
6bba_76db78c1,6bba,617,604,0,99,6.0,8,0,1,4855
6bba_784a78c9,6bba,1788,1739,0,99,18.0,21,1,2,13096
6bba_786893ac,6bba,1465,1395,0,99,13.0,28,3,2,58979
6bba_789f8168,6bba,713,681,0,99,7.0,14,0,1,10676
6bba_78a7bd97,6bba,886,832,6,99,8.0,20,2,2,40613
6bba_7af54fde,6bba,1131,1092,0,99,11.0,14,2,2,9624
6bba_7b5d3b2c,6bba,565,555,0,99,6.0,7,0,1,5780
6bba_7d3058ae,6bba,1200,1173,0,99,12.0,14,2,2,7611
6bba_7f87b3d8,6bba,1000,934,0,99,10.0,17,3,2,10581
6bba_80d12824,6bba,680,654,0,99,7.0,12,1,2,9021
6bba_825bd1c6,6bba,968,930,0,99,11.0,18,0,1,7586
6bba_87289e13,6bba,724,699,0,99,8.0,11,1,2,14966
6bba_8b7818bf,6bba,741,725,0,99,7.0,10,2,2,5828
6bba_907271db,6bba,945,921,0,99,10.0,11,1,2,7306
6bba_91951b3a,6bba,1188,1148,0,99,12.0,16,0,1,11907
6bba_96833384,6bba,758,721,0,99,7.0,12,0,1,4869
6bba_969618f6,6bba,679,658,0,99,7.0,9,3,2,13888
6bba_971fa5e0,6bba,792,767,0,99,8.0,10,0,1,5609
6bba_9a41d029,6bba,1401,1353,0,99,14.0,19,2,2,18231
6bba_9e23430b,6bba,914,891,0,99,9.0,12,1,2,7708
6bba_a5e926bb,6bba,741,698,0,99,7.0,14,0,1,8440
6bba_a90a0b9c,6bba,1147,1112,0,99,10.0,20,0,1,36896
6bba_ab78413d,6bba,1179,1138,0,99,12.0,15,2,2,9241
6bba_acd782a8,6bba,356,330,12,99,3.0,12,0,1,19710
6bba_ae82a791,6bba,1495,1471,0,99,15.0,18,0,1,7403
6bba_aeee7805,6bba,795,768,0,99,8.0,12,1,2,5034
6bba_af149c94,6bba,1350,1317,0,99,14.0,16,0,1,8933
6bba_afb141ff,6bba,654,626,0,99,6.0,12,4,2,6054
6bba_b1ae37b9,6bba,612,579,0,87,7.0,15,0,1,24298
6bba_b204cac7,6bba,826,811,0,99,8.0,9,2,2,5092
6bba_b329af44,6bba,1316,1268,0,99,12.0,20,1,2,62465
6bba_b693381b,6bba,983,935,0,99,9.0,15,0,1,5558
6bba_bb9f20c3,6bba,1925,1879,4,99,20.5,25,3,2,23071
6bba_bbb708ca,6bba,892,861,0,99,9.0,14,0,1,6785
6bba_c27cba08,6bba,517,493,0,99,5.0,10,0,1,6445
6bba_c328f2fd,6bba,511,500,4,99,5.0,9,2,2,31228
6bba_c73a1d11,6bba,737,710,5,99,7.0,14,0,1,16315
6bba_cdcfe533,6bba,1419,1348,18,99,18.5,28,4,2,29785
6bba_cf35214c,6bba,842,817,0,99,8.0,13,0,1,34890
6bba_cff5865f,6bba,1571,1501,3,99,18.0,28,0,1,46362
6bba_d0fc38b5,6bba,835,813,0,99,8.0,10,0,1,6111
6bba_d1acb6ff,6bba,681,643,0,99,6.0,15,1,2,14719
6bba_d2b9fc0c,6bba,944,921,0,99,9.0,15,2,2,20178
6bba_d3da753b,6bba,887,857,0,99,9.0,13,1,2,17246
6bba_d5eae175,6bba,528,519,2,99,6.0,8,0,1,4519
6bba_d6ecebbb,6bba,886,862,0,99,8.0,15,0,1,5359
6bba_d82a4fc6,6bba,545,530,0,99,5.0,8,0,1,27716
6bba_debd7bfa,6bba,766,729,0,99,7.5,15,4,2,11807
6bba_df673a83,6bba,668,654,0,98,7.0,10,4,2,19239
6bba_e16ffc58,6bba,964,942,0,99,10.0,13,1,2,6367
6bba_e5e44988,6bba,666,634,0,99,7.0,10,0,1,5615
6bba_ebdf3b34,6bba,847,803,0,99,8.0,17,2,2,56847
6bba_ebff6e76,6bba,1318,1264,0,99,11.0,27,0,1,41596
6bba_ed9377fd,6bba,531,508,0,99,6.0,7,0,1,4443
6bba_edf14583,6bba,801,760,0,99,8.0,12,0,1,59242
6bba_eebc57a5,6bba,1026,989,0,99,11.0,13,0,1,9347
6bba_ef7b4f7e,6bba,1234,1201,2,99,13.0,16,2,2,6107
6bba_f17befbc,6bba,1078,1015,0,99,11.0,17,0,1,24963
6bba_f1fde7e0,6bba,476,446,0,99,5.0,8,0,1,9040
6bba_f20478e9,6bba,1003,963,0,99,9.0,16,1,2,5973
6bba_f4ae811c,6bba,1001,965,0,99,10.0,15,0,1,8903
6bba_f8ffd5e7,6bba,389,370,0,99,4.0,9,2,2,29540
6bba_fbc898dc,6bba,655,639,0,99,7.0,10,0,1,4889
6bba_fc516dc6,6bba,788,762,0,99,8.0,12,0,1,7866
6bba_fc5f39dc,6bba,471,458,0,99,4.0,8,2,2,14020
6bba_fc83837d,6bba,957,923,0,99,10.0,14,0,1,13087
6bba_fe670320,6bba,716,680,0,99,6.0,13,2,2,10836
